period,symbol,scope,filter,state,applied,count,denominator,strategy,source_run_id
2024-2026-08,ETHUSDT,simultaneous,state_active,fail,True,1045,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,state_active,pass,True,1877,2922,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,actual_decision,accepted,selected,True,9,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,actual_decision,basis_outside_entry_range,selected,True,74,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,actual_decision,state_or_cooldown,selected,True,5029,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,first_rejection,all_pass,selected,True,9,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,first_rejection,basis_negative,selected,True,74,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,first_rejection,cooldown,selected,True,24,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,first_rejection,state_active,selected,True,5005,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,basis_above_max,not_evaluable,True,1,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,basis_above_max,pass,True,5111,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,basis_negative,fail,True,4451,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,basis_negative,not_evaluable,True,1,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,basis_negative,pass,True,660,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,budget,fail,True,1695,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,budget,not_evaluable,True,1220,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,budget,pass,True,2197,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,cooldown,fail,True,24,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,cooldown,pass,True,5088,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,coverage,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,debt,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,forecast,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,freshness,fail,True,1,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,freshness,pass,True,5111,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,funding,fail,False,4888,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,funding,pass,False,224,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,mark,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,operational,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,pending_orders,fail,True,1,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,pending_orders,pass,True,5111,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,price_alignment,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,rules,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,sizing,fail,True,1220,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,sizing,pass,True,3892,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,state_active,fail,True,5005,5112,permanent,run_dfea4b7ac1475668d5968c97
full,BTCUSDT,simultaneous,state_active,pass,True,107,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,actual_decision,accepted,selected,True,11,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,actual_decision,basis_outside_entry_range,selected,True,249,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,actual_decision,state_or_cooldown,selected,True,4852,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,first_rejection,all_pass,selected,True,11,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,first_rejection,basis_negative,selected,True,249,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,first_rejection,cooldown,selected,True,30,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,first_rejection,state_active,selected,True,4822,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,basis_above_max,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,basis_negative,fail,True,4399,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,basis_negative,pass,True,713,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,budget,fail,True,2226,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,budget,not_evaluable,True,155,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,budget,pass,True,2731,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,cooldown,fail,True,30,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,cooldown,pass,True,5082,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,coverage,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,debt,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,forecast,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,freshness,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,funding,fail,False,4852,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,funding,pass,False,260,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,mark,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,operational,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,pending_orders,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,price_alignment,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,rules,pass,True,5112,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,sizing,fail,True,155,5112,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,simultaneous,sizing,pass,True,4957,5112,permanent,run_dfea4b7ac1475668d5968c97
