method,strategy,symbol,open_time_utc,available_at_utc,spot,short,average,collateral,mark_close,mark_method,runtime_position_match,close_causes,source,balance,maintenance,liquidation_price,ratio,distance,liquidate,preventive
last_official,conditional,ETHUSDT,2022-07-12T13:16:00.000000000Z,2022-07-12T13:17:00.000000000Z,0,0,0,0,1075.28000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,BTCUSDT,2022-07-12T13:17:00.000000000Z,2022-07-12T13:18:00.000000000Z,0,0,0,0,19915.42238191,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,ETHUSDT,2022-07-12T13:17:00.000000000Z,2022-07-12T13:18:00.000000000Z,0,0,0,0,1075.28000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,BTCUSDT,2022-07-12T13:18:00.000000000Z,2022-07-12T13:19:00.000000000Z,0,0,0,0,19898.20000000,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,ETHUSDT,2022-07-12T13:18:00.000000000Z,2022-07-12T13:19:00.000000000Z,0,0,0,0,1075.28000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,BTCUSDT,2022-07-12T13:19:00.000000000Z,2022-07-12T13:20:00.000000000Z,0,0,0,0,19909.19947294,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,ETHUSDT,2022-07-12T13:19:00.000000000Z,2022-07-12T13:20:00.000000000Z,0,0,0,0,1075.28000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,BTCUSDT,2022-07-12T13:20:00.000000000Z,2022-07-12T13:21:00.000000000Z,0,0,0,0,19919.50000000,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,ETHUSDT,2022-07-12T13:20:00.000000000Z,2022-07-12T13:21:00.000000000Z,0,0,0,0,1075.28000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,BTCUSDT,2022-07-12T13:21:00.000000000Z,2022-07-12T13:22:00.000000000Z,0,0,0,0,19907.57458687,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,ETHUSDT,2022-07-12T13:21:00.000000000Z,2022-07-12T13:22:00.000000000Z,0,0,0,0,1075.28000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,BTCUSDT,2022-07-12T13:52:00.000000000Z,2022-07-12T13:53:00.000000000Z,0,0,0,0,19853.10000000,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,ETHUSDT,2022-07-12T13:52:00.000000000Z,2022-07-12T13:53:00.000000000Z,0,0,0,0,1070.61000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,BTCUSDT,2022-07-13T06:59:00.000000000Z,2022-07-13T07:00:00.000000000Z,0,0,0,0,19529.80000000,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,ETHUSDT,2022-07-13T06:59:00.000000000Z,2022-07-13T07:00:00.000000000Z,0,0,0,0,1060.56000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,BTCUSDT,2024-08-12T10:02:00.000000000Z,2024-08-12T10:03:00.000000000Z,0.05300678,0.053,62839.54279508029626945117670,1665.391455354141656662665066,58269.46845611,last_official,True,[],persisted_ledger_and_causal_mark,1907.605395319567358943577431,12.35312731269532,93886.47717607677514364386663,0.006475724666644638930178006950,0.6112465011894588343610722118,False,False
last_official,conditional,ETHUSDT,2024-08-12T10:02:00.000000000Z,2024-08-12T10:03:00.000000000Z,0.0000560,0.000,0,0E-24,2597.79000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,BTCUSDT,2024-08-12T10:03:00.000000000Z,2024-08-12T10:04:00.000000000Z,0.05300678,0.053,62839.54279508029626945117670,1665.391455354141656662665066,58269.46845611,last_official,True,[],persisted_ledger_and_causal_mark,1907.605395319567358943577431,12.35312731269532,93886.47717607677514364386663,0.006475724666644638930178006950,0.6112465011894588343610722118,False,False
last_official,conditional,ETHUSDT,2024-08-12T10:03:00.000000000Z,2024-08-12T10:04:00.000000000Z,0.0000560,0.000,0,0E-24,2597.79000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,permanent,BTCUSDT,2022-07-12T12:57:00.000000000Z,2022-07-12T12:58:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19854.48571219,official,False,[],persisted_ledger_and_causal_mark,3302.486836020259999999999999,11.59501965591896,42305.03840801178846258800414,0.003510996479819981093580609563,1.130754682909660504473265837,False,False
last_official,permanent,ETHUSDT,2022-07-12T12:57:00.000000000Z,2022-07-12T12:58:00.000000000Z,0.0000690,0.000,0,0E-24,1071.38000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
