symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,state,snapshot_kind,spot,short,average,collateral,spot_cost,realized_spot,realized_futures,funding,fees,liquidation_fees,slippage,spot_price,mark_price,dust_spot,tradable_spot,mark_available_at_utc,mark_close_time_ns_utc,spot_price_time_ns_utc,mark_age_seconds,mark_available_at,mark_close_time_ns,spot_price_age_seconds,spot_price_time_ns,source_run_id
BTCUSDT,permanent,False,1722988799999999999,2024-08-06T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,628.5604225515211317346,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1722988799999999999,2024-08-06T23:59:59.999999999Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,532.8263999626379960543,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1723046580000000000,2024-08-07T16:03:00.000000000Z,REBALANCING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,628.4332147490737763143,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1723046640000000000,2024-08-07T16:04:00.000000000Z,REBALANCING,event,0.05900933,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3582.959211363252080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,628.4332147490737763143,71.6587163849,0,9.603750921043492379325662696,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1723046700000000000,2024-08-07T16:05:00.000000000Z,HOLDING,event,0.05900933,0.059,60764.90041320200251575671986,1793.762255167356052984033460,3582.959211363252080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,628.4332147490737763143,71.8824015849,0,9.648520494767220143797257736,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1723046700000000000,2024-08-07T16:05:00.000000000Z,HOLDING,event,0.05900933,0.059,60764.90041320200251575671986,1793.762255167356052984033460,3582.959211363252080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,628.4332147490737763143,71.8824015849,0,9.648520494767220143797257736,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1723075199999999999,2024-08-07T23:59:59.999999999Z,HOLDING,event,0.05900933,0.059,60764.90041320200251575671986,1793.762255167356052984033460,3582.959211363252080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,628.4332147490737763143,71.8824015849,0,9.648520494767220143797257736,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1723075199999999999,2024-08-07T23:59:59.999999999Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,532.5869782186773223043,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1723161599999999999,2024-08-08T23:59:59.999999999Z,HOLDING,event,0.05900933,0.059,60764.90041320200251575671986,1793.762255167356052984033460,3582.959211363252080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,628.6632195064947763143,71.8824015849,0,9.648520494767220143797257736,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1723161599999999999,2024-08-08T23:59:59.999999999Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,532.3614982609323223043,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
