scenario,strategy,run_id,period,symbol,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,spot_realized_pnl_usdt,spot_unrealized_pnl_usdt,futures_realized_pnl_usdt,futures_unrealized_pnl_usdt,net_pnl_usdt
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2024,BTCUSDT,2874.481517473700000000000000,-2872.557397929040000000000002,385.1032436760659877299,-58.3581672487,0,7.585194401780427552549933402,3350.375673914523936531772355,-475.894156440823936531772355,-3349.222400000000000000000002,476.6650020709600000000000001,328.6691959720259877298999982
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2024,ETHUSDT,1868.645429400000000000000001,-1867.500463609759999999999999,417.1082140219199257395,-59.780747936,0,7.881471104451382243256462182,2149.765092763143349245218342,-281.119663363143349245218340,-2155.864084709447044997803436,288.3636210996870449978034368,358.4724318761599257395000038
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2025,BTCUSDT,-94.968324607500000000000000,94.89622175024000000000000110,168.3312792318656171585,-2.9705624200,0,0.39704075947396316529447764,161.253659406867431328671833,-256.221984014367431328671833,-160.936817647058823529411764,255.8330393972988235294117653,165.2886139546056171585000011
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2025,ETHUSDT,-562.272383660000000000000001,563.7787198609800000000000000,160.7286478208296251907,-19.027671453,0,2.57167900390525121698484701,875.3802311542362410787987340,-1437.652614814236241078798735,-873.6132545629721643063246605,1437.391974423952164306324661,143.2073125688096251906999982
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2026,BTCUSDT,-290.537108662500000000000000,290.5671030723200000000000000,40.7241621613858578400,0E-10,0,0E-26,0E-24,-290.537108662500000000000000,0E-24,290.5671030723200000000000000,40.75415657120585784000000000
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2026,ETHUSDT,-531.162197009000000000000000,531.3256900042500000000000000,27.6586069891937878912,-0.081443450,0,0.01114344555396725086897893,0E-24,-531.162197009000000000000000,0E-24,531.3256900042500000000000000,27.74065653444378789120000058
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,full,BTCUSDT,2493.604057171400000000000000,-2449.090400000000000000000006,946.6070299632576497722,-101.4549413514,0,13.72115862682556778365190036,3147.646919839940723607891690,-654.042862668540723607891690,-3104.367717647058823529411771,655.2773176470588235294117650,889.6657457832576497721999943
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,full,ETHUSDT,-74.858514479000000000000000,142.0802300042499999999999961,851.1013783911186355135,-124.608350245,0,16.71090054827368526800282144,1876.101118354236677626545790,-1950.959632833236677626545789,-1812.984097132804566540961536,1955.064327137054566540961534,793.7147436713686355134999975
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2022-2023,BTCUSDT,4.6279729676999999999999998,38.0036731064799999999999956,352.4483448939401870438,-40.1262116827,0,5.738923465571177065807489318,-363.9824134814506442525524982,368.610386449150644252552498,405.7914999999999999999999950,-367.7878268935200000000000006,354.9537792854201870437999948
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2022-2023,ETHUSDT,-850.069363210000000000000000,914.4762837487799999999999940,245.6059095591752966921,-45.718487406,0,6.246606994363084556892533318,-1149.044205563142912697471286,298.9748423531429126974712860,1216.493242139614642763166559,-302.0169583908346427631665633,264.2943426919552966920999952
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2024+,BTCUSDT,2488.976084203700000000000000,-2487.094073106480000000000002,594.1586850693174627284,-61.3287296687,0,7.982235161254390717844411042,3511.629333321391367860444188,-1022.653249117691367860444188,-3510.159217647058823529411766,1023.065144540578823529411765,534.7119664978374627283999995
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2024+,ETHUSDT,775.210848731000000000000001,-772.3960537445299999999999989,605.4954688319433388214,-78.889862839,0,10.46429355391060071111028812,3025.145323917379590324017077,-2249.934475186379590324017075,-3029.477339272419209304128095,2257.081285527889209304128097,529.4204009794133388214000025
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2022,BTCUSDT,-2786.637330985300000000000000,2792.497759708499999999999996,115.8955500606555643084,-16.1473260413,0,2.388839147407481013046639059,-1305.977442558655680606309121,-1480.659888426644319393690879,1311.835837364672364672364672,1480.661922343827635327635324,105.6086527425555643083999965
