date,strategy,equity_usdt,daily_return,net_pnl_usdt
2024-10-22,permanent,11177.18335753181568098139999,0.000204788281849588309660331,2.28848752027944100000000
2024-10-23,permanent,11179.37530441067158898139999,0.000196109056167433339596748,2.19194687885590800000000
2024-10-24,permanent,11181.04216613319373998139999,0.000149101508548918043065342,1.66686172252215100000000
2024-10-25,permanent,11183.33387686498506298139999,0.000204963964694883083672370,2.29171073179132300000000
2024-10-26,permanent,11185.14623226381787007999999,0.000162058597086333545210933,1.81235539883280709860000
2024-10-27,permanent,11186.28221970941218607999999,0.000101562145188368967868104,1.13598744559431600000000
2024-10-28,permanent,11182.46154120733185907999999,-0.0003415503405902428024755977,-3.82067850208032700000000
2024-10-29,permanent,11182.48781494823185907999999,0.000002349548961396500781923,0.02627374090000000000000
2024-10-30,permanent,11165.92382715633185907999999,-0.0014812435359650495826725547,-16.56398779190000000000000
2024-10-31,permanent,11150.12834630306541107999999,-0.0014146147777625618081256446,-15.79548085326644800000000
2024-11-01,permanent,11152.84923197708950807999999,0.000244022812071596769954044,2.72088567402409700000000
2024-11-02,permanent,11155.81501650750626907999999,0.000265921691285251061731518,2.96578453041676100000000
2024-11-03,permanent,11158.19855176230218407999999,0.000213658549489118020948344,2.38353525479591500000000
2024-11-04,permanent,11160.38927870580675807999999,0.000196333389600651553085954,2.19072694350457400000000
2024-11-05,permanent,11163.05507919883594207999999,0.000238862680006652820466089,2.66580049302918400000000
2024-11-06,permanent,11161.74049234880903507999999,-0.0001177622828786807265687170,-1.31458685002690700000000
2024-11-07,permanent,11164.44256158849640247249999,0.000242083144787284004914456,2.70206923968736739250000
2024-11-08,permanent,11167.22490168922851047249999,0.000249214422071085633056078,2.78234010073210800000000
2024-11-09,permanent,11167.49020048535779647249999,0.000023756913509385410907155,0.26529879612928600000000
2024-11-10,permanent,11167.67782337593655893009999,0.000016800810854582890349406,0.18762289057876245760000
2024-11-11,permanent,11170.01979470060618918289999,0.000209709785839941371089584,2.34197132466963025280000
2024-11-12,permanent,11178.41028754283979366049999,0.000751161859732272541539010,8.39049284223360447760000
2024-11-13,permanent,11176.75300056824097070249999,-0.0001482578409602387411640899,-1.65728697459882295800000
2024-11-14,permanent,11178.93252772291061970249999,0.000195005396876788718869112,2.17952715466964900000000
